1n8zOut_sample_100_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1593.114
1n8zOut_sample_107_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1600.111
1n8zOut_sample_108_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1641.468
1n8zOut_sample_106_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1611.901
1n8zOut_sample_114_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1478.861
1n8zOut_sample_113_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1589.919
1n8zOut_sample_121_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1484.011
1n8zOut_sample_105_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1496.989
1n8zOut_sample_116_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1606.519
1n8zOut_sample_0_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1635.692
1n8zOut_sample_119_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1496.091
1n8zOut_sample_10_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1519.161
1n8zOut_sample_166_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1591.513
1n8zOut_sample_117_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1530.847
1n8zOut_sample_115_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1620.352
1n8zOut_sample_122_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1447.455
1n8zOut_sample_123_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1452.903
1n8zOut_sample_104_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1555.688
1n8zOut_sample_140_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1501.546
1n8zOut_sample_110_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1617.162
1n8zOut_sample_139_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1525.153
1n8zOut_sample_11_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1524.394
1n8zOut_sample_125_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1544.359
1n8zOut_sample_138_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1654.824
1n8zOut_sample_164_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1572.089
1n8zOut_sample_14_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1475.834
1n8zOut_sample_153_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1642.688
1n8zOut_sample_152_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1663.377
1n8zOut_sample_170_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1506.345
1n8zOut_sample_118_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1628.421
1n8zOut_sample_151_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1549.68
1n8zOut_sample_112_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1556.547
1n8zOut_sample_124_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1651.795
1n8zOut_sample_101_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1534.778
1n8zOut_sample_126_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1537.429
1n8zOut_sample_127_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1549.417
1n8zOut_sample_155_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1626.397
1n8zOut_sample_154_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1621.959
1n8zOut_sample_13_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1510.814
1n8zOut_sample_144_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1628.038
1n8zOut_sample_150_abdiffuser_mason_lownoise_0001.pdb,0,H,L,C,1560.87
