6fe4.pdb,0,F,NA,A,9.6e-09
5w08.pdb,0,K,L,C,4e-08
2ny3.pdb,0,D,C,A,8.15e-07
6h7o.pdb,0,D,NA,B,1.4000000000000003e-10
1nca.pdb,0,H,L,N,8.30e-09
4ypg.pdb,0,H,L,D,4.3999999999999997e-11
5toj.pdb,0,E,NA,B,2.3e-08
2vxs.pdb,0,J,N,D,2.10e-09
2oqj.pdb,0,E,D,F,2.00e-04
4fqr.pdb,0,a,b,A,1.0000000000000001e-07
5y7z.pdb,0,D,NA,B,1.5400000000000002e-08
2ny0.pdb,0,D,C,A,2.32e-07
6ii9.pdb,0,H,L,A,1.94e-08
4f9p.pdb,0,D,d,B,1.5000000000000002e-08
4j8r.pdb,0,B,A,I,2e-08
5zia.pdb,0,G,L,R,3e-07
2r56.pdb,0,I,M,B,1.30e-09
1g6v.pdb,0,K,NA,A,7.20e-08
2qhr.pdb,0,H,L,P,4.10e-08
4lmq.pdb,0,E,I,F,9.230000000000001e-10
5nqw.pdb,0,C,NA,B,1.4e-09
5mi0.pdb,0,B,C,A,4.0999999999999994e-07
1vfb.pdb,0,B,A,C,3.70e-09
2p42.pdb,0,D,NA,C,2.30e-08
3hi6.pdb,0,H,L,A,4.70e-06
1oau.pdb,0,J,N,J,2.00e-08
4ypg.pdb,0,B,A,C,4.3999999999999997e-11
3q3g.pdb,0,K,J,L,4.97e-09
3t0w.pdb,0,NA,A,A,5.0000000000000004e-08
5drz.pdb,0,H,L,P,4.4000000000000005e-09
2vwe.pdb,0,E,C,A,1.14e-10
1q72.pdb,0,H,L,H,1.4e-07
3idy.pdb,0,H,L,G,4.04e-09
1mh5.pdb,0,H,L,H,6.100000000000001e-10
5m2m.pdb,0,J,NA,I,1.5000000000000002e-09
2x89.pdb,0,A,NA,D,4.40e-08
1zea.pdb,0,H,L,A,6e-06
3dvn.pdb,0,B,A,Y | X,9.20e-08
4kro.pdb,0,B,NA,A,2.7600000000000004e-07
5a2i.pdb,0,H,h,P,8.8e-06
3eob.pdb,0,H,L,I,2.20e-09
